H6BBF,殿,전
H6BC1,毁,훼
H6BCD,母,모
H6BCF,每,매
H6BD2,毒,독
H6BD4,比,비
H6BDB,毛,모
H6BEB,毫,호
H6C0F,氏,씨
H6C11,民,민
H6C23,氣,기
H6C34,水,수
H6C37,氷,빙
H6C38,永,영
H6C42,求,구
H6C57,汗,한
H6C5A,汚,오
H6C5D,汝,여
H6C5F,江,강
H6C60,池,지
H6C7A,決,결
H6C7D,汽,기
H6C88,沈,침
H6C92,沒,몰
H6C99,沙,사
H6CB3,河,하
H6CB9,油,유
H6CBB,治,치
H6CBF,沿,연
H6CC1,況,황
H6CC9,泉,천
H6CCA,泊,박
H6CD5,法,법
H6CE2,波,파
H6CE3,泣,읍
H6CE5,泥,니
H6CE8,注,주
H6CF0,泰,태
H6CF3,泳,영
H6D0B,洋,양
H6D17,洗,세
H6D1E,洞,동
H6D2A,洪,홍
H6D32,洲,주
H6D3B,活,활
H6D3E,派,파
H6D41,流,류
H6D66,浦,포
H6D69,浩,호
H6D6A,浪,랑
H6D6E,浮,부
H6D74,浴,욕
H6D77,海,해
H6D78,浸,침
H6D88,消,소
H6D89,涉,섭
H6DAF,涯,애
H6DB2,液,액
H6DBC,涼,량
H6DD1,淑,숙
H6DDA,淚,루
H6DE1,淡,담
H6DE8,淨,정
H6DEB,淫,음
H6DF1,深,심
H6DF7,混,혼
H6DF8,淸,청
H6DFA,淺,천
H6DFB,添,첨
H6E1B,減,감
H6E21,渡,도
H6E2C,測,측
H6E2F,港,항
H6E34,渴,갈
H6E56,湖,호
H6E6F,湯,탕
H6E90,源,원
H6E96,準,준
H6EAA,溪,계
H6EAB,溫,온
H6EC5,滅,멸
H6EEF,滯,체
H6EF4,滴,적
H6EFF,滿,만
H6F01,漁,어
H6F02,漂,표
H6F06,漆,칠
H6F0F,漏,루
H6F14,演,연
H6F20,漠,막
H6F22,漢,한
H6F2B,漫,만
H6F38,漸,점
H6F54,潔,결
H6F5B,潛,잠
H6F64,潤,윤
H6F6E,潮,조
H6FA4,澤,택
H6FC0,激,격
H6FC1,濁,탁
H6FD5,濕,습
H6FDF,濟,제
H6FEB,濫,람
H6FEF,濯,탁
H706B,火,화
H7070,灰,회
H707D,災,재
H708E,炎,염
H70AD,炭,탄
H70C8,烈,렬
H70CF,烏,오
H7109,焉,언
H7121,無,무
H7136,然,연
H7159,煙,연
H7167,照,조
H7169,煩,번
H719F,熟,숙
H71B1,熱,열
H71C3,燃,연
H71C8,燈,등
H71D2,燒,소
H71D5,燕,연
H71DF,營,영
H71E5,燥,조
H71ED,燭,촉
H7206,爆,폭
H7210,爐,로
H722D,爭,쟁
H7232,爲,위
H7235,爵,작
H7236,父,부
H7247,片,편
H7248,版,판
H7259,牙,아
H725B,牛,우
H7267,牧,목
H7269,物,물
H7279,特,특
H727D,牽,견
H72AC,犬,견
H72AF,犯,범
H72C0,狀,상
H72C2,狂,광
H72D7,狗,구
H731B,猛,맹
H7336,猶,유
H7344,獄,옥
H7368,獨,독
H7372,獲,획
H7375,獵,렵
H7378,獸,수
H737B,獻,헌
H7384,玄,현
H7387,率,률
H7389,玉,옥
H738B,王,왕
H73CD,珍,진
